asx code,rank,date
PYC,4.264974265523401,2019:04:26
MVP,4.0022328081461405,2019:04:26
CUV,4.000286599683179,2019:04:26
CSL,3.7472643621841577,2019:04:26
OCC,2.56326669171139,2019:04:26
AVH,2.551184673475722,2019:04:26
IVX,2.3904100815207165,2019:04:26
NEU,2.3721417386684833,2019:04:26
PBP,2.350734058026792,2019:04:26
EOF,2.3360745814291572,2019:04:26
MYX,2.3302921720584537,2019:04:26
GTG,2.3276924695729377,2019:04:26
VLS,2.3184854381933704,2019:04:26
BLT,2.316187924187611,2019:04:26
AC8,2.2978734814703947,2019:04:26
NOX,2.29274507860491,2019:04:26
SCU,2.292083441452406,2019:04:26
FTT,2.290157359541139,2019:04:26
ACW,2.2885714785647773,2019:04:26
RAC,2.2857450963450807,2019:04:26
ESE,2.2851381704832496,2019:04:26
ATX,2.2818788878669345,2019:04:26
ATH,2.281664172079118,2019:04:26
OPT,2.2815315209846956,2019:04:26
PTX,2.279147794334432,2019:04:26
ACR,2.279073214034701,2019:04:26
ANP,2.2782832647091165,2019:04:26
DXB,2.27809057060851,2019:04:26
CDY,2.27747792673594,2019:04:26
KZA,2.2756322106328817,2019:04:26
OSL,2.2725659934257187,2019:04:26
BNO,2.2724855677106977,2019:04:26
ANR,2.272296313349939,2019:04:26
CPH,2.2718087393984394,2019:04:26
1AD,2.271632811738314,2019:04:26
TLX,2.27097340354024,2019:04:26
SUD,2.2685322124942244,2019:04:26
ADO,2.263003834016719,2019:04:26
IMM,2.262045902308082,2019:04:26
RNO,2.2610630886879233,2019:04:26
IMC,2.2597975805025157,2019:04:26
IMU,2.258676165737315,2019:04:26
PAA,2.258330882754308,2019:04:26
MSB,2.247606894468167,2019:04:26
OBJ,2.2423599657599675,2019:04:26
MXC,2.2415436779726994,2019:04:26
LCT,2.2394054156195526,2019:04:26
MDC,2.2358742302394154,2019:04:26
RCE,2.2344793370069396,2019:04:26
PIQ,2.2331873833230214,2019:04:26
CYP,2.218372968437409,2019:04:26
PAR,2.21034526521437,2019:04:26
BIT,2.2079981054174507,2019:04:26
IDT,2.1936284945432822,2019:04:26
GSS,2.1828946211816653,2019:04:26
SPL,2.167563716906556,2019:04:26
CAN,2.1585362197181537,2019:04:26
TPE,2.0852177802321923,2019:04:26
ZLD,2.016065038401986,2019:04:26
EX1,2.0139513123005415,2019:04:26
BOT,2.0095538508284303,2019:04:26
AGH,2.007356012255856,2019:04:26
CP1,2.0010191705502614,2019:04:26
PXS,2.0000455803718564,2019:04:26
THC,2.0,2019:04:26
