asx code,rank,date
JIN,5.184638606858011,2019:04:26
IEL,4.117344554326577,2019:04:26
NVT,3.4682047810813135,2019:04:26
ALL,3.2400794510557063,2019:04:26
TAH,2.884099010947505,2019:04:26
SGH,2.450391986481306,2019:04:26
CTD,2.3867235547328494,2019:04:26
IVC,2.38640014565712,2019:04:26
RDC,2.369941245521904,2019:04:26
DMP,2.218497709429878,2019:04:26
CWN,2.171324039656975,2019:04:26
3PL,2.125263251851514,2019:04:26
PFP,2.1219703619575627,2019:04:26
ALG,2.076440167079022,2019:04:26
KME,2.0718114974351662,2019:04:26
CKF,2.071634351359731,2019:04:26
GEM,2.064093692687288,2019:04:26
SLK,2.0584365663419866,2019:04:26
SGR,2.053194217276207,2019:04:26
TNK,2.0490429742537053,2019:04:26
ISU,2.047833517999475,2019:04:26
ENN,2.0451919400574603,2019:04:26
FLT,2.0448086898079225,2019:04:26
RDH,2.037856292028817,2019:04:26
HLO,2.03711732914773,2019:04:26
MFD,2.029159417511342,2019:04:26
EXP,2.028126839269393,2019:04:26
RCT,2.0266592452662375,2019:04:26
SKC,2.0180656575831835,2019:04:26
SHJ,2.015209457647877,2019:04:26
AGI,2.0141040405344706,2019:04:26
DNA,2.0065737820803955,2019:04:26
WNB,2.0009261190823535,2019:04:26
RFG,2.000057282100549,2019:04:26
MMM,2.000000028151014,2019:04:26
EVO,2.000000016449423,2019:04:26
