asx code,rank,date
SEK,4.886354252708579,2019:04:26
BXB,4.833915292393038,2019:04:26
FLN,4.773520742741322,2019:04:26
NEA,4.082195888529672,2019:04:26
PG1,4.056786111277914,2019:04:26
BSA,3.997367004471712,2019:04:26
CWY,3.8520236894439135,2019:04:26
DOW,3.8486880224428566,2019:04:26
ALQ,3.841040407362679,2019:04:26
AEI,3.837429701729076,2019:04:26
AMA,3.8364476484316374,2019:04:26
IPH,3.8349447724290004,2019:04:26
CLQ,3.8325889729021867,2019:04:26
TPS,3.832390963687259,2019:04:26
BIN,3.8319505995813223,2019:04:26
SPO,3.831501819357392,2019:04:26
SIQ,3.8308523633986837,2019:04:26
MMS,3.830109317469451,2019:04:26
ARA,3.829866093899078,2019:04:26
PPE,3.8296491973696867,2019:04:26
QIP,3.829507010167844,2019:04:26
XIP,3.8294451469399444,2019:04:26
HRL,3.8293757846097556,2019:04:26
WLL,3.829330321348616,2019:04:26
HIT,3.8289988552793477,2019:04:26
SGF,3.828994929730098,2019:04:26
CUP,3.828668042533696,2019:04:26
KPG,3.828546439875414,2019:04:26
CLI,3.8284518437848907,2019:04:26
EAX,3.8284260272633577,2019:04:26
PSZ,3.8282257506472805,2019:04:26
VRS,3.828196982266922,2019:04:26
MSG,3.828173868805115,2019:04:26
ASH,3.8281693873975438,2019:04:26
OVT,3.8279389249462117,2019:04:26
IGN,3.8274638948011295,2019:04:26
MIL,3.826985739872531,2019:04:26
PKD,3.7837548085397383,2019:04:26
PET,3.774723678650424,2019:04:26
IGE,3.0566291937286505,2019:04:26
ECG,2.0000516993261517,2019:04:26
KSS,2.0,2019:04:26
