asx code,rank,date
4DS,5.748224484150651,2019:04:26
RVS,4.000677427444123,2019:04:26
BLG,2.248108336357406,2019:04:26
SE1,2.0009846693713036,2019:04:26
SLX,2.000327769331263,2019:04:26
