asx code,rank,date
ARG,4.199275349335666,2019:04:26
MLT,3.954618079463222,2019:04:26
GFL,3.875156776639537,2019:04:26
AFI,3.833003022788983,2019:04:26
FGG,3.1398380833685753,2019:04:26
FGX,3.0235042058840893,2019:04:26
KAT,3.002014704161014,2019:04:26
AEG,3.0,2019:04:26
BTC,2.8872731742451063,2019:04:26
SNC,2.8756389395374082,2019:04:26
TGG,2.8719564623264957,2019:04:26
BAF,2.8632332423082096,2019:04:26
MIR,2.860499891301348,2019:04:26
BKI,2.8539742532133534,2019:04:26
AUI,2.8538335377209374,2019:04:26
DUI,2.8527037846791474,2019:04:26
CLF,2.8522501115436882,2019:04:26
WIC,2.851436763295515,2019:04:26
AMH,2.8475804542718373,2019:04:26
CIN,2.8458087453811434,2019:04:26
PIA,2.8438843444760686,2019:04:26
WHF,2.843169033736143,2019:04:26
QVE,2.839284751004581,2019:04:26
DJW,2.838970771136955,2019:04:26
CD3,2.835561249942162,2019:04:26
FSI,2.8327616155785935,2019:04:26
ALF,2.828556233253633,2019:04:26
LSX,2.8285514534516296,2019:04:26
ALI,2.826450504182038,2019:04:26
VG1,2.8254038160816624,2019:04:26
MFF,2.825329746912966,2019:04:26
PL8,2.825144194653684,2019:04:26
D2O,2.821050089691129,2019:04:26
ACQ,2.8183029207202117,2019:04:26
MGC,2.8106649732103888,2019:04:26
MMJ,2.807472263485716,2019:04:26
CDM,2.807159646662911,2019:04:26
NSC,2.8060459898860435,2019:04:26
FOR,2.805452130475072,2019:04:26
NCC,2.8040805081905082,2019:04:26
LSF,2.8033960138759957,2019:04:26
BEL,2.8028295384124298,2019:04:26
MA1,2.8027680334383667,2019:04:26
AUP,2.798784990869402,2019:04:26
PAI,2.7976217874330453,2019:04:26
WAM,2.7975402800652964,2019:04:26
STW,2.7970544603900356,2019:04:26
SLF,2.7970544603900356,2019:04:26
SFY,2.7970544603900356,2019:04:26
TOP,2.7959503143323348,2019:04:26
WAX,2.792033190537672,2019:04:26
PMC,2.7914599738684545,2019:04:26
TEK,2.7892963882644324,2019:04:26
PIC,2.7835671103130513,2019:04:26
SEC,2.7751161617988798,2019:04:26
CBC,2.7689093243401635,2019:04:26
WAA,2.7672763461641945,2019:04:26
CAM,2.7527915155084575,2019:04:26
APL,2.6570605707841555,2019:04:26
MGG,2.0001664380974287,2019:04:26
TGF,2.0,2019:04:26
URB,2.0,2019:04:26
AYK,2.0,2019:04:26
WGB,2.0,2019:04:26
WLE,2.0,2019:04:26
WMI,2.0,2019:04:26
WQG,2.0,2019:04:26
GCI,2.0,2019:04:26
PAF,2.0,2019:04:26
QRI,2.0,2019:04:26
EGD,2.0,2019:04:26
GVF,2.0,2019:04:26
GC1,2.0,2019:04:26
FPP,2.0,2019:04:26
MOT,2.0,2019:04:26
MXT,2.0,2019:04:26
FPC,2.0,2019:04:26
EGF,2.0,2019:04:26
EGI,2.0,2019:04:26
PGF,2.0,2019:04:26
EAI,2.0,2019:04:26
CD1,2.0,2019:04:26
CVF,2.0,2019:04:26
NBI,2.0,2019:04:26
OPH,2.0,2019:04:26
CIE,2.0,2019:04:26
HM1,2.0,2019:04:26
TOT,2.0,2019:04:26
