asx code,rank,date
ZIP,4.983531551227021,2019:04:26
SLC,3.9966768818393916,2019:04:26
TLS,3.9906644059412484,2019:04:26
SDA,3.0075442384304827,2019:04:26
ST1,3.0012159699665397,2019:04:26
HTA,3.0002416434651087,2019:04:26
MNF,2.9990721012519925,2019:04:26
MAQ,2.9968503437166127,2019:04:26
VN8,2.9913787173169757,2019:04:26
VOC,2.991180938717876,2019:04:26
TPM,2.9910621233983345,2019:04:26
AYS,2.987775555660819,2019:04:26
UWL,2.9808194458634065,2019:04:26
TOM,2.980593067448215,2019:04:26
REF,2.979172923242959,2019:04:26
5GN,2.038190359674499,2019:04:26
SPK,2.0235414106864775,2019:04:26
CNU,2.0006792591173546,2019:04:26
