asx code,rank,date
NET,4.002069891498118,2019:04:26
APT,3.2335252467114666,2019:04:26
SPT,3.0787490259316797,2019:04:26
RUL,3.0302867591906035,2019:04:26
CPU,3.0289655121315455,2019:04:26
PPH,3.027186015854674,2019:04:26
LNU,2.6095114485429,2019:04:26
XRO,2.4658085875887177,2019:04:26
WTC,2.2985437110474427,2019:04:26
JXT,2.1872413238735646,2019:04:26
ISX,2.1760341944203656,2019:04:26
ALU,2.168461067399457,2019:04:26
FAM,2.1480779485926305,2019:04:26
TSN,2.134631926548804,2019:04:26
OPN,2.1344989012998825,2019:04:26
CCG,2.1281522654095952,2019:04:26
CAG,2.1192312781589173,2019:04:26
YOJ,2.1168316809105097,2019:04:26
LNK,2.105522148044993,2019:04:26
3DP,2.093090534139897,2019:04:26
MYQ,2.08430524037633,2019:04:26
IXU,2.079769510258113,2019:04:26
SKO,2.078404374479496,2019:04:26
APX,2.0713386861284286,2019:04:26
LVH,2.069510802687123,2019:04:26
CCA,2.0684367672357875,2019:04:26
HSC,2.064207916658553,2019:04:26
EML,2.0612454412128933,2019:04:26
TNE,2.0605204826169317,2019:04:26
BID,2.0600902790750486,2019:04:26
ID8,2.0575274741408096,2019:04:26
TYM,2.0566101601286624,2019:04:26
9SP,2.056208727102259,2019:04:26
FCT,2.0549245946777734,2019:04:26
BRN,2.0537551553158027,2019:04:26
XF1,2.053664328723304,2019:04:26
DTS,2.052991887623808,2019:04:26
NXT,2.0466402735286,2019:04:26
BUD,2.044989875734877,2019:04:26
DUB,2.044864981080994,2019:04:26
RFN,2.0446528593035955,2019:04:26
IRE,2.0434509962193124,2019:04:26
LVT,2.0419934485899764,2019:04:26
DCC,2.041671653521713,2019:04:26
PIL,2.040058818545962,2019:04:26
AO1,2.0393373158725208,2019:04:26
MP1,2.0383133715640267,2019:04:26
IFM,2.0355603922389873,2019:04:26
BVS,2.035362199267873,2019:04:26
IHR,2.0352713931188022,2019:04:26
OCL,2.034311125053159,2019:04:26
MBM,2.0341785212809382,2019:04:26
GSW,2.032548727558392,2019:04:26
CRO,2.0321964167454016,2019:04:26
TV2,2.0303359622545907,2019:04:26
IRI,2.0291033758965735,2019:04:26
CL1,2.028556196643436,2019:04:26
IAM,2.0285022665596637,2019:04:26
RDY,2.0284819402602086,2019:04:26
NOR,2.028360818644545,2019:04:26
ELO,2.0279236187319203,2019:04:26
HSN,2.0278468695960328,2019:04:26
AR9,2.0277055201217076,2019:04:26
BTH,2.027620377042134,2019:04:26
8CO,2.027295371335011,2019:04:26
ESV,2.0271617131981485,2019:04:26
FZO,2.0270618210340707,2019:04:26
GOO,2.0266594291905093,2019:04:26
CGL,2.0266504321897423,2019:04:26
MNW,2.0264955404094023,2019:04:26
SKF,2.0264751905456633,2019:04:26
EVS,2.026428175161624,2019:04:26
GBT,2.026363700537666,2019:04:26
DTL,2.0260410671472937,2019:04:26
ODA,2.026038785834738,2019:04:26
CSV,2.0257494029202467,2019:04:26
VLT,2.0256807539358057,2019:04:26
JCS,2.025609920217178,2019:04:26
RKN,2.025464271967391,2019:04:26
ADJ,2.025249371956079,2019:04:26
ARQ,2.025215081722037,2019:04:26
NOV,2.025141054744755,2019:04:26
MOQ,2.025098982942902,2019:04:26
DWS,2.0250143897716333,2019:04:26
KYK,2.0249895014734127,2019:04:26
K2F,2.024934330363636,2019:04:26
ADA,2.0248420514185144,2019:04:26
DXN,2.0247836216300708,2019:04:26
SIS,2.024571556154138,2019:04:26
SCL,2.0245259214205245,2019:04:26
RXP,2.024497520926573,2019:04:26
ISD,2.0244899360163195,2019:04:26
EPD,2.02439917556118,2019:04:26
BIQ,2.0243510117007695,2019:04:26
IP1,2.024349275233269,2019:04:26
CV1,2.0243350608710555,2019:04:26
IME,2.0243240946757988,2019:04:26
SGO,2.0243008691551667,2019:04:26
DSE,2.024241048625595,2019:04:26
COO,2.0241280668460044,2019:04:26
CGO,2.024000762008141,2019:04:26
XPE,2.023959611880028,2019:04:26
TGO,2.0239110802315743,2019:04:26
LVE,2.0237995793489993,2019:04:26
SVT,2.023594153025542,2019:04:26
CWL,2.023297241219978,2019:04:26
PRO,2.0229687313879516,2019:04:26
PPS,2.02228142922189,2019:04:26
JAN,2.022012203245865,2019:04:26
SYT,2.0219694661308933,2019:04:26
MPW,2.020980508526798,2019:04:26
OMN,2.017520975357389,2019:04:26
RHP,2.0160574437841445,2019:04:26
CNW,2.0117865788587324,2019:04:26
VGL,2.0097938658285255,2019:04:26
TTL,2.0032604513031265,2019:04:26
GTK,2.000787766939139,2019:04:26
OTW,2.0,2019:04:26
SMX,2.0,2019:04:26
FTC,2.0,2019:04:26
