asx code,rank,date
AD8,5.10367725648146,2019:04:26
DDR,3.127642638314645,2019:04:26
SMN,3.0291060132932186,2019:04:26
QFY,3.015534894162607,2019:04:26
PRZ,2.5363329564986348,2019:04:26
ELS,2.463907116852553,2019:04:26
BCT,2.391695947870076,2019:04:26
CDA,2.3181398518097507,2019:04:26
HYD,2.117082072614897,2019:04:26
WBT,2.1096615062484343,2019:04:26
NVX,2.035292834594767,2019:04:26
NUH,2.022726246942077,2019:04:26
MOB,2.0174152802608494,2019:04:26
SEN,2.0159577987063986,2019:04:26
CAT,2.013641218077387,2019:04:26
CIO,2.009056525697818,2019:04:26
NTC,2.008504795507868,2019:04:26
RDF,2.003621779913559,2019:04:26
HIL,2.0033287921743086,2019:04:26
BCC,2.0032918780327673,2019:04:26
SP3,2.002696235327636,2019:04:26
TZL,2.0020366020307216,2019:04:26
AVA,2.0019796526205074,2019:04:26
DTI,2.0019760429233093,2019:04:26
SPZ,2.0002291226390265,2019:04:26
