asx code,rank,date
LEP,4.770784826805324,2019:04:26
GDI,4.400237505250588,2019:04:26
VVR,4.394610319710322,2019:04:26
GPT,4.051544678337454,2019:04:26
NSR,3.566176156395945,2019:04:26
GMG,3.5466689732377192,2019:04:26
RFF,3.4783589922964917,2019:04:26
GOZ,3.406002015799717,2019:04:26
SCG,3.240383541037855,2019:04:26
ARF,3.1361179534649803,2019:04:26
HPI,3.12430278655495,2019:04:26
BWP,3.1084752180306365,2019:04:26
DXS,3.0586163886314877,2019:04:26
CHC,3.0080011972675287,2019:04:26
SCP,2.9899494623761687,2019:04:26
CMW,2.9633571036868296,2019:04:26
LIC,2.9359445328509297,2019:04:26
CQE,2.9160838130758404,2019:04:26
VCX,2.8826974805568906,2019:04:26
TGP,2.829581246586314,2019:04:26
URW,2.8102170461093703,2019:04:26
ERF,2.7958010731233927,2019:04:26
AOG,2.7811117236260996,2019:04:26
EGH,2.747909346338261,2019:04:26
SGP,2.730370037705441,2019:04:26
MGR,2.7263141921982905,2019:04:26
VTH,2.7164419603900756,2019:04:26
FRI,2.696809574132381,2019:04:26
APZ,2.679327004830856,2019:04:26
INA,2.679316570420683,2019:04:26
AVJ,2.6714398344215344,2019:04:26
ABP,2.6469841968756858,2019:04:26
PPC,2.580401040093743,2019:04:26
UOS,2.51698386656546,2019:04:26
CMA,2.504709459520193,2019:04:26
VLW,2.4888374097962482,2019:04:26
CWP,2.4810095362594673,2019:04:26
DVN,2.4669789805121645,2019:04:26
SRV,2.4596149405918712,2019:04:26
CIP,2.4463588928298887,2019:04:26
CLW,2.434002150289517,2019:04:26
IBN,2.3934690712601148,2019:04:26
AQR,2.3925987110250735,2019:04:26
ADI,2.360992068182941,2019:04:26
MEA,2.3355812927737514,2019:04:26
CDP,2.2827807594156755,2019:04:26
CQR,2.2324966509836637,2019:04:26
AVN,2.191936407853791,2019:04:26
URF,2.1913196250746765,2019:04:26
GDF,2.175478808339681,2019:04:26
AOF,2.1021263255197598,2019:04:26
APW,2.0294885448141597,2019:04:26
LLC,2.0197329577313736,2019:04:26
