asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
MOQ,2019-05-10,Software & Services,micro,0.007152526168595897,0.032484010011123464,,,0.2508640423717402,0.02566570420275906,0.16819617872724538,0.16511595221363318,1,0,1,,,,
8CO,2019-05-10,Software & Services,micro,0.006621782815173541,,,,0.26621482113200773,0.07619505935194097,0.1841244170302392,0.12036542515811667,1,0,1,,,,
9SP,2019-05-10,Software & Services,micro,0.0053404933053963375,,,,,0.38306063522617895,,,1,0,1,,,,
ADA,2019-05-10,Software & Services,micro,0.008830532932446379,0.005544354838709678,,,0.25152236036925657,0.04443375040102662,0.16909884158266889,0.15881939564300773,1,0,1,,,,
ADJ,2019-05-10,Software & Services,micro,0.007642168184884536,,,,0.2570881398028038,0.020532563362207247,0.17479690085752972,0.14272663387210122,1,0,1,,,,
APT,2019-05-10,Software & Services,mid,0.552352828174073,,,,0.30934961174199915,0.2781520692974013,0.2403339852565067,1.0,1,0,1,,,,
ALU,2019-05-10,Software & Services,mid,0.37186434771731214,0.14914140711902113,,,0.29024342804135433,0.4003849855630413,0.21718444411012489,0.24574841883345044,1,0,1,,,,
APX,2019-05-10,Software & Services,mid,0.23783824836823222,0.09964196329254726,,,0.26193575414815146,0.2906641000962463,0.1808710696554837,0.203682361208714,1,0,1,,,,
AR9,2019-05-10,Software & Services,micro,0.00546826485344246,,,,0.2653171147717582,0.019570099454603786,0.1805137656085452,0.1464230498945889,1,0,1,,,,
ARQ,2019-05-10,Software & Services,micro,0.028236618610864156,,,,0.2516121310052815,0.01940968880333654,0.16971942229577253,0.16345748418833453,1,0,1,,,,
AO1,2019-05-10,Software & Services,micro,0.004677085557794287,,,,0.30056705118422433,0.004010266281681103,0.20644651722581617,0.15014757554462405,1,0,1,,,,
BID,2019-05-10,Software & Services,micro,0.013360615090445279,,,,0.28249322979786645,0.30044914982354826,0.20731156912893034,0.11479971890372453,1,0,1,,,,
BTH,2019-05-10,Software & Services,micro,0.013851150614062911,,,,0.26263895746368027,0.12239332691690727,0.17912216037310066,0.12430077301475756,1,0,1,,,,
BRN,2019-05-10,Software & Services,micro,0.008367696136027555,,,,0.32465550518425423,0.08822585819698428,0.25031969309462915,0.1468025298664793,1,0,1,,,,
BVS,2019-05-10,Software & Services,small,0.11632125162506646,0.06606298665183535,,,0.25765668716429524,0.16041065126724413,0.17690311418685123,0.18881236823612088,1,0,1,,,,
BUD,2019-05-10,Software & Services,micro,0.009863427404763286,,,,0.31852117838921556,0.06753288418350978,0.21037686174213932,0.14508784258608576,1,0,1,,,,
BIQ,2019-05-10,Software & Services,micro,0.005872130166147687,,,,0.25331777308975567,0.014757779916586458,0.17092297276967053,0.14579058327477162,1,0,1,,,,
CAG,2019-05-10,Software & Services,micro,0.011292145623824478,,,,0.3993446743570178,0.23740776387552132,0.3480517526703776,0.0,1,0,1,,,,
CCA,2019-05-10,Software & Services,micro,0.004899100684873367,,,,0.25571165671708784,0.35097850497273014,0.17223935610049648,0.14993675333801829,1,0,1,,,,
CWL,2019-05-10,Software & Services,micro,0.0050545709601183,,,,0.2514475515059024,0.012993262752646775,0.1684406499172559,0.1378215038650738,1,0,1,,,,
CRO,2019-05-10,Software & Services,micro,0.004914290309466263,,,,0.2782889716773643,0.0109079242861726,0.19395968105912442,0.14957132817990162,1,0,1,,,,
CNW,2019-05-10,Software & Services,micro,0.008367696136027555,0.013226501668520577,,,,0.06352261790182868,0.16825259515570937,0.18912157413914266,1,0,1,,,,
CL1,2019-05-10,Software & Services,micro,0.020471146414578464,0.03022455506117909,,,0.2579409608450409,0.10266281681103624,0.17654581013991275,0.16837666900913564,1,0,1,,,,
