asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
3PL,2019-05-10,Consumer Services,micro,0.0069910164722744635,,,,0.1404126824358329,0.05404139008199921,0.13735632183908045,0.49289316827143514,1,0,1,,,,
AGI,2019-05-10,Consumer Services,micro,0.01357070314073628,0.023280611338190857,,,0.04831404126824358,0.0037485357282311593,0.04080459770114943,0.2404860155891793,1,0,1,,,,
ALG,2019-05-10,Consumer Services,small,0.03527471106201539,,,,0.05737292400603926,0.009683717297930494,0.06609195402298851,0.42342961944062363,1,0,1,,,,
ALL,2019-05-10,Consumer Services,large,1.0,0.42153900835258573,,,0.22898842476094614,0.07333073018352206,0.2896551724137931,0.5045850527281065,1,0,1,,,,
CKF,2019-05-10,Consumer Services,small,0.06019620855693208,0.27705704638350814,,,0.04730749874182184,0.019679812573213586,0.060344827586206906,0.36795048143053655,1,0,1,,,,
CTD,2019-05-10,Consumer Services,mid,0.14394634902393982,0.4323795983650258,,,0.319073980875692,0.03748535728231159,0.3632183908045977,0.6059147180192572,1,0,1,,,,
CWN,2019-05-10,Consumer Services,mid,0.4715260123695777,0.20259463301937092,,,0.12682435832913938,0.012573213588442014,0.135632183908046,0.3771205868867492,1,0,1,,,,
DMP,2019-05-10,Consumer Services,mid,0.21179456408581954,0.4131864226052959,,,0.13085052843482636,0.08090589613432252,0.16379310344827586,0.5082530949105916,1,0,1,,,,
DNA,2019-05-10,Consumer Services,micro,0.004596186506262178,,,,0.026673376950176148,0.0,0.04310344827586207,0.1863823933975241,1,0,1,,,,
ENN,2019-05-10,Consumer Services,micro,0.025421878080998047,,,,0.05435329642677403,0.02936352987114408,0.16494252873563217,0.3434204493351674,1,0,1,,,,
EVO,2019-05-10,Consumer Services,micro,0.0018165299454457949,,,,,0.002186645841468176,,,1,0,1,,,,
EXP,2019-05-10,Consumer Services,micro,0.01012475590544503,0.19033232628398788,,,0.045797684952189235,0.005778992581023037,0.05402298850574713,0.27579092159559837,1,0,1,,,,
FLT,2019-05-10,Consumer Services,mid,0.19218218941949494,0.16829571707837215,,,0.06039255158530449,0.019523623584537287,0.052873563218390804,0.31934892251260893,1,0,1,,,,
GEM,2019-05-10,Consumer Services,small,0.08616935338530789,0.19299804513950597,,,0.06995470558631103,0.00991800078094494,0.09310344827586207,0.380559376432829,1,0,1,,,,
HLO,2019-05-10,Consumer Services,small,0.02398858453781584,0.15390083525857473,,,0.07247106190236538,0.012260835611089416,0.06091954022988508,0.32026593305823026,1,0,1,,,,
IEL,2019-05-10,Consumer Services,mid,0.20490372974359738,1.0,,,0.350276799194766,0.1924248340491995,0.3885057471264368,1.0,1,0,1,,,,
IVC,2019-05-10,Consumer Services,small,0.10790198477231623,0.5912564421539008,,,0.17413185707096124,0.07231550175712612,0.22758620689655176,0.5440165061898212,1,0,1,,,,
ISU,2019-05-10,Consumer Services,micro,0.005558252993272426,,,,0.03120281831907398,0.005232331120655993,0.019540229885057474,0.3629069234296195,1,0,1,,,,
JIN,2019-05-10,Consumer Services,small,0.04753297529264844,0.7472898524968901,,,1.0,0.10870753611870362,1.0000000000000002,0.9149472718936268,1,0,1,,,,
KME,2019-05-10,Consumer Services,micro,0.001821830587247504,0.22854096321307982,,,0.14141922496225465,0.029988285825849267,0.1339080459770115,0.3794131132508024,1,0,1,,,,
MMM,2019-05-10,Consumer Services,micro,0.0030420383300009965,,,,,,,,1,0,1,,,,
MFD,2019-05-10,Consumer Services,micro,0.0019845602905599813,0.0,,,0.042778057372924005,0.0072627879734478715,0.060344827586206906,0.30674002751031637,1,0,1,,,,
NVT,2019-05-10,Consumer Services,mid,0.12009346091624774,,,,0.10266733769501761,0.9999999999999999,0.12126436781609197,0.773956900504356,1,0,1,,,,
PFP,2019-05-10,Consumer Services,micro,0.014917596222550627,0.3291274213612938,,,0.16205334675390035,0.011479890667707923,0.16839080459770114,0.4259513984410821,1,0,1,,,,
RDC,2019-05-10,Consumer Services,small,0.0755680697818892,0.31082281855340327,,,0.10619023653749372,0.022725497852401404,0.29425287356321844,0.6788170563961486,1,0,1,,,,
RDH,2019-05-10,Consumer Services,micro,0.0026688731471606582,0.22036609205615781,,,0.048817312531454465,0.026552128074970708,0.038505747126436785,0.29986244841815685,1,0,1,,,,
RCT,2019-05-10,Consumer Services,micro,0.0037040884910344947,0.1339968011373734,,,0.16557624559637643,0.04248340491995314,0.18333333333333335,0.2379642365887208,1,0,1,,,,
RFG,2019-05-10,Consumer Services,micro,0.01411401892541149,,,,0.0,0.013276064037485356,0.03735632183908047,0.0,1,0,1,,,,
SLK,2019-05-10,Consumer Services,small,0.02591112731929582,0.2082814999111427,,,0.07599396074484147,0.01835220616946505,0.10172413793103449,0.3631361760660248,1,0,1,,,,
SHJ,2019-05-10,Consumer Services,micro,0.010862075180062802,0.03412120135063086,,,0.027176648213387018,0.002967590784849668,0.05172413793103449,0.2466758367721229,1,0,1,,,,
SKC,2019-05-10,Consumer Services,mid,0.12910455197915366,0.2514661453705349,,,,0.023037875829753997,,,1,0,1,,,,
SGH,2019-05-10,Consumer Services,micro,0.014225862467427556,,,,0.03573225968797182,0.02280359234673955,0.0839080459770115,0.7661623108665752,1,0,1,,,,
TAH,2019-05-10,Consumer Services,mid,0.6708301441138493,0.7671938866180914,,,0.08203321590337193,0.008590394377196407,0.12183908045977011,0.5043558000917011,1,0,1,,,,
