asx code,Date,sector,Market cap (intra-day),Enterprise value,Trailing P/E,Forward P/E,PEG ratio (5-yr expected),Price/sales,Price/book,Enterprise value/revenue,Enterprise value/EBITDA,triangle,flag,reactangle,h&s,double_top,triple_top,mean
AMP,2019-05-10,Diversified Financials,mid,0.0,0.9999999999999999,,,0.12170713760117734,0.021819137749737115,0.0,0.23114117777531318,1,0,1,,,,
APD,2019-05-10,Diversified Financials,micro,0.5286833007573907,0.041280810873070714,,,0.17954378219278883,0.024185068349106203,0.22437411431270668,0.9100587778640344,1,0,1,,,,
ASX,2019-05-10,Diversified Financials,large,0.6100659662838994,0.12305920294862935,,,0.3142016188373804,0.09516298633017875,0.36513934813415216,0.9268492846844847,1,0,1,,,,
AEF,2019-05-10,Diversified Financials,micro,0.5292708282433424,0.13969131536512325,,,0.19367181751287713,0.3580441640378549,0.24720516454101718,0.9358101364090051,1,0,1,,,,
BTI,2019-05-10,Diversified Financials,micro,0.5286973491326655,0.05510251094217922,,,0.23855776306107435,0.018664563617245004,0.29727601952448435,,1,0,1,,,,
BFG,2019-05-10,Diversified Financials,micro,0.5283361837283167,0.017829993089149964,,,0.1265636497424577,0.027076761303890636,0.1678475830577862,,1,0,1,,,,
BWF,2019-05-10,Diversified Financials,micro,0.5283622648424139,0.058281501958074175,,,0.14834437086092717,0.04127234490010515,0.20610927413005828,0.9133858267716535,1,0,1,,,,
BLA,2019-05-10,Diversified Financials,micro,0.5281608844368434,,,,0.0,0.0,0.004723665564478036,0.8895197959410002,1,0,1,,,,
CAF,2019-05-10,Diversified Financials,micro,0.5280749450280968,,,,0.11184694628403238,0.014984227129337538,0.16501338371909938,,1,0,1,,,,
CNI,2019-05-10,Diversified Financials,small,0.535304177864647,0.26362589265146275,,,0.18175128771155263,0.08648790746582545,0.3300267674381987,0.9309526450038814,1,0,1,,,,
CGF,2019-05-10,Diversified Financials,mid,0.48356950891766437,0.1445749827228749,,,0.13745401030169244,0.03391167192429022,0.12061092741300583,0.8167683264943993,1,0,1,,,,
CVW,2019-05-10,Diversified Financials,small,0.5348155387246519,0.06933886201336097,,,0.13230316409124357,0.02602523659305993,0.21634388285309403,0.9263391371853165,1,0,1,,,,
CGR,2019-05-10,Diversified Financials,micro,0.5292452968482776,0.051877447592720574,,,0.13951434878587196,0.054153522607781286,0.2298850574712644,0.9140955972052788,1,0,1,,,,
CA8,2019-05-10,Diversified Financials,micro,0.5281737112142683,0.04957383091453582,,,,0.06203995793901156,,,1,0,1,,,,
CLH,2019-05-10,Diversified Financials,micro,0.5296797581236258,0.008984105044920521,,,0.12847682119205298,0.018664563617245004,0.19319792158715166,0.9022513030941554,1,0,1,,,,
COG,2019-05-10,Diversified Financials,micro,0.5293809552895187,0.08316056208246947,,,0.11979396615158205,0.014458464773922186,0.1824909463076681,0.9102362204724408,1,0,1,,,,
CRD,2019-05-10,Diversified Financials,small,0.5300648668458344,,,,0.3234731420161884,0.26182965299684546,0.36246260431428123,0.8354219807031162,1,0,1,,,,
CCP,2019-05-10,Diversified Financials,small,0.5362203762521378,0.05206173692697534,,,0.17939661515820457,0.0914826498422713,0.24389859864588254,,1,0,1,,,,
CVC,2019-05-10,Diversified Financials,small,0.5299788052773028,,,,0.1855776306107432,0.04022082018927445,0.24563060935285785,0.9392924475989796,1,0,1,,,,
DCL,2019-05-10,Diversified Financials,micro,0.528155448326411,,,,0.4844738778513613,,0.581798142024878,0.8797826328047021,1,0,1,,,,
EAS,2019-05-10,Diversified Financials,micro,0.5282806621060347,0.044229440221147207,,,0.11861662987490802,0.024710830704521555,0.1750905369233192,0.9170455805700343,1,0,1,,,,
ECX,2019-05-10,Diversified Financials,small,0.540801368189592,0.0,,,0.11611479028697572,0.005257623554153523,0.2076838293182176,0.9043584340689806,1,0,1,,,,
EQT,2019-05-10,Diversified Financials,small,0.5310735401905693,0.09417184980419258,,,0.19764532744665197,0.051261829652996846,0.24972445284207212,0.9212820228457357,1,0,1,,,,
EZL,2019-05-10,Diversified Financials,micro,0.528897263620816,0.031329186823312594,,,0.14554819720382633,0.03233438485804417,0.19414265470004727,,1,0,1,,,,
ED1,2019-05-10,Diversified Financials,small,0.529900195455656,0.05653075328265375,,,0.12891832229580574,0.03706624605678234,0.18123130215714062,,1,0,1,,,,
EVE,2019-05-10,Diversified Financials,micro,0.5281100048863915,,,,0.28962472406181017,0.04022082018927445,0.36088804912612193,,1,0,1,,,,
FFG,2019-05-10,Diversified Financials,micro,0.5281078060102614,,,,0.1387785136129507,0.002628811777076761,0.21272240592032754,0.8785627148719085,1,0,1,,,,
FID,2019-05-10,Diversified Financials,micro,0.5288660517957489,0.04570375489518544,,,0.15496688741721854,0.11461619348054679,0.20878601794992918,0.9092602861262059,1,0,1,,,,
FXL,2019-05-10,Diversified Financials,small,0.5458099193745419,0.0202257544344621,,,0.1462840323767476,0.027865404837013667,0.3303416784758306,,1,0,1,,,,
FSA,2019-05-10,Diversified Financials,micro,0.5312993525531395,0.009675190048375946,,,0.13509933774834437,0.06913774973711882,0.2727129585891986,,1,0,1,,,,
GCM,2019-05-10,Diversified Financials,micro,0.5283268995846567,0.009721262381939638,,,0.1642384105960265,0.03969505783385909,0.2344512675169265,0.9048020405899966,1,0,1,,,,
